,394.82,419.632,470.587,483.663,494.417,522.006,556.364,675.851,680.352,quality_Medium
106,82.63,91.6724,98.0316,98.8147,99.4643,99.8286,100.37,100.638,100.481,0
107,88.7067,95.286,99.9784,99.2426,99.7786,99.8779,99.9014,100.204,99.592,0
108,91.2951,97.8664,100.92,101.013,100.855,100.637,100.449,100.455,100.57,1
109,75.244,86.2565,93.7306,94.6782,95.5279,98.12,96.2052,96.6324,97.3283,0
110,64.1005,78.6579,89.989,91.4099,93.0416,94.3171,95.155,96.3098,96.2785,0
111,94.5433,95.032,96.1642,96.1466,96.999,96.6044,96.3805,98.4728,98.159,0
112,68.0096,86.4829,98.6903,99.6632,100.108,100.341,100.539,101.013,101.007,0
113,59.0877,79.7298,95.0504,101.53,99.7672,97.8503,98.6821,99.854,99.8557,0
114,63.5345,80.8925,93.7435,95.3127,96.6893,98.1635,99.5936,100.047,100.175,1
115,68.0654,85.6659,98.3398,99.9194,97.4602,98.6855,100.135,99.9231,100.149,0
116,87.4751,94.4159,99.1857,99.1139,99.4851,99.7392,99.874,100.018,100.015,0
117,66.7479,85.4955,93.9805,95.4669,95.7166,94.8642,95.3454,96.1686,96.2112,0
118,70.9961,90.1019,99.1011,100.118,100.17,100.542,100.475,101.551,101.096,0
119,81.9731,92.3997,95.8374,96.8047,96.9236,97.9249,97.6216,97.9856,97.2858,0
120,103.42,103.19,102.5,102.357,102.189,101.211,101.869,102.183,102.03,0
121,86.88,91.7787,96.2265,96.5153,96.9351,96.4606,97.2569,98.7406,97.9499,0
122,87.8398,95.0996,100.476,100.63,100.991,101.224,101.339,101.36,101.376,0
123,77.3241,88.6879,97.5221,98.1691,99.4123,99.404,99.9212,100.573,100.622,0
124,86.915,95.5422,100.989,101.591,101.879,101.877,105.359,102.085,102.049,0
125,77.5434,88.547,96.5282,97.2416,98.7104,98.6722,102.317,99.4705,99.3893,0
126,61.529,76.3557,87.5927,89.219,90.336,91.3153,91.7141,92.206,91.9901,0
127,90.9243,96.8595,100.619,99.7732,100.169,99.9949,100.167,100.49,100.266,0
128,90.4807,98.7981,102.955,102.625,102.427,101.922,101.268,101.655,101.694,1
129,89.8761,93.5339,96.666,97.1422,96.7002,96.9805,96.4228,96.9609,96.9708,0
130,86.1354,94.7484,100.444,101.224,101.499,101.966,101.336,101.79,101.779,0
131,91.3533,92.983,92.9164,92.6871,92.5273,92.4615,91.8007,91.7688,91.7972,0
132,95.7951,98.0294,99.2677,100.78,99.5593,99.6417,100.083,99.7197,99.6894,0
133,92.1825,95.8725,98.0061,99.6412,98.3701,98.7609,98.9487,98.3195,98.375,0
134,101.279,101.868,100.488,100.579,100.572,100.656,100.198,99.9199,100.138,0
135,89.021,95.333,98.8881,99.4508,100.458,100.475,100.267,100.217,100.384,0
136,89.571,147.977,173.817,177.867,181.504,183.439,184.385,186.261,186.254,0
137,136.979,166.188,174.27,175.07,175.996,178.03,178.878,183.585,183.589,1
138,70.0145,91.2087,99.1096,99.5796,100.008,99.6257,99.5682,99.7517,99.7084,0
139,84.6659,97.1466,100.507,100.814,101.181,101.099,101.033,100.881,100.845,0
140,78.3805,89.5422,94.3148,94.8756,95.497,96.2997,96.676,96.9671,96.9349,1
141,82.0151,92.4582,95.0133,95.0881,95.2049,95.6545,95.7581,97.2839,97.3039,0
142,51.1788,82.762,98.4141,99.7902,101.029,101.322,101.424,102.056,102.074,0
143,87.9826,97.3515,100.819,101.279,101.495,101.622,101.531,101.289,101.298,0
144,87.1183,95.3163,98.1581,98.5271,98.8644,98.8678,98.7616,98.9666,99.4529,0
145,81.1964,95.4717,100.511,100.552,101.007,101.057,100.829,101.106,101.67,1
146,72.9234,88.8532,95.7206,96.6434,97.6767,98.4433,98.6971,99.1206,99.0146,0
147,61.012,81.1715,93.978,95.3278,96.7972,97.6987,98.4998,98.3355,98.3724,1
148,95.2733,98.1858,99.1463,99.4301,99.393,99.3873,99.1436,98.9608,98.9981,0
149,89.9699,94.8954,97.1531,97.7541,97.8152,98.1105,97.7219,97.5999,97.6673,0
150,58.1367,79.0499,94.1673,95.6894,97.1489,98.1148,98.8596,99.9401,99.8068,0
151,62.0269,80.4524,93.9827,94.9185,96.1439,97.1269,97.3026,97.3013,96.9713,0
152,86.3452,92.6006,95.0135,95.6308,95.6815,97.1609,97.5495,98.287,98.4883,0
153,96.4871,98.2588,99.147,98.9866,98.3947,100.109,99.0137,99.1571,99.3681,0
154,90.9658,95.6582,98.4578,98.2533,98.2878,98.5484,99.38,98.6229,98.6416,0
155,84.0913,87.1305,91.1205,91.9427,92.4494,93.7225,96.6312,96.0303,96.2127,1
156,93.2016,98.5344,100.076,102.412,101.867,100.643,100.863,101.504,100.872,0
157,95.2869,99.1247,100.025,102.345,102.973,100.466,100.899,101.324,100.69,0
158,89.7481,94.5211,96.5033,99.5395,99.811,97.5631,97.8971,98.3595,97.7237,0
159,72.3551,86.2823,94.7673,95.9737,97.101,98.0249,98.4512,99.1897,98.903,0
160,83.6619,93.8967,98.5375,99.134,99.5129,99.7725,99.7043,100.268,100.06,0
161,84.6985,93.4783,98.011,98.5383,99.6274,99.1451,99.2916,100.141,100.206,0
162,93.7206,95.5669,96.1528,96.2712,97.1249,96.1585,96.0884,96.7556,96.6495,0
163,91.8969,94.2308,97.4237,98.3378,99.3038,100.475,98.9349,98.6199,98.6974,0
164,58.4323,78.2296,94.7709,96.0994,98.149,98.9224,103.163,101.766,101.843,0
165,86.0758,98.9633,104.856,104.654,105.471,104.89,108.725,106.039,105.482,0
166,62.7776,84.3,100.29,100.077,100.846,101.259,101.148,101.453,101.571,0
167,72.6727,87.8228,98.526,98.5658,98.6915,99.6606,99.5985,99.7219,99.6558,0
